Unnamed: 0,questions,answer,type
89,what was the date when Antigua and Barbuda acquired membership in the United Nations?,11/11/1981,date
90,At what date did Argentina attain membership in the United Nations?,10/24/1945,date
91,When was Argentina admitted to the United Nations?,10/24/1945,date
92,At what date did Argentina gain entry into the United Nations?,10/24/1945,date
93,When did Argentina become a member state of the United Nations?,10/24/1945,date
94,give me Argentina’s date of admission (dd/mm/yyyy format) into the UN,10/24/1945,date
95,When was Argentina granted UN membership?,10/24/1945,date
96,At what date did Argentina secure its place in the United Nations?,10/24/1945,date
97,When did Argentina achieve membership status within the United Nations?,10/24/1945,date
98,At what specific date did Argentina enter the United Nations?,10/24/1945,date
99,When did Argentina become part of the United Nations?,10/24/1945,date
100,At what date did Argentina receive membership in the United Nations?,10/24/1945,date
101,When was Argentina accepted as a member of the United Nations?,10/24/1945,date
102,give me the date when Argentina became a member of the UN,10/24/1945,date
103,When did Argentina obtain its United Nations membership?,10/24/1945,date
104,what was the date when Argentina acquired membership in the United Nations?,10/24/1945,date
105,At what date did Armenia attain membership in the United Nations?,03/02/1992,date
106,When was Armenia admitted to the United Nations?,03/02/1992,date
107,At what date did Armenia gain entry into the United Nations?,03/02/1992,date
108,When did Armenia become a member state of the United Nations?,03/02/1992,date
109,give me Armenia’s date of admission (dd/mm/yyyy format) into the UN,03/02/1992,date
110,When was Armenia granted UN membership?,03/02/1992,date
111,At what date did Armenia secure its place in the United Nations?,03/02/1992,date
112,When did Armenia achieve membership status within the United Nations?,03/02/1992,date
113,At what specific date did Armenia enter the United Nations?,03/02/1992,date
114,When did Armenia become part of the United Nations?,03/02/1992,date
115,At what date did Armenia receive membership in the United Nations?,03/02/1992,date
116,When was Armenia accepted as a member of the United Nations?,03/02/1992,date
117,give me the date when Armenia became a member of the UN,03/02/1992,date
118,When did Armenia obtain its United Nations membership?,03/02/1992,date
119,what was the date when Armenia acquired membership in the United Nations?,03/02/1992,date
120,At what date did Australia attain membership in the United Nations?,11/01/1945,date
121,When was Australia admitted to the United Nations?,11/01/1945,date
122,At what date did Australia gain entry into the United Nations?,11/01/1945,date
123,When did Australia become a member state of the United Nations?,11/01/1945,date
124,give me Australia’s date of admission (dd/mm/yyyy format) into the UN,11/01/1945,date
125,When was Australia granted UN membership?,11/01/1945,date
126,At what date did Australia secure its place in the United Nations?,11/01/1945,date
127,When did Australia achieve membership status within the United Nations?,11/01/1945,date
128,At what specific date did Australia enter the United Nations?,11/01/1945,date
129,When did Australia become part of the United Nations?,11/01/1945,date
130,At what date did Australia receive membership in the United Nations?,11/01/1945,date
131,When was Australia accepted as a member of the United Nations?,11/01/1945,date
132,give me the date when Australia became a member of the UN,11/01/1945,date
133,When did Australia obtain its United Nations membership?,11/01/1945,date
134,what was the date when Australia acquired membership in the United Nations?,11/01/1945,date
135,At what date did Austria attain membership in the United Nations?,12/14/1955,date
136,When was Austria admitted to the United Nations?,12/14/1955,date
137,At what date did Austria gain entry into the United Nations?,12/14/1955,date
138,When did Austria become a member state of the United Nations?,12/14/1955,date
139,give me Austria’s date of admission (dd/mm/yyyy format) into the UN,12/14/1955,date
140,When was Austria granted UN membership?,12/14/1955,date
141,At what date did Austria secure its place in the United Nations?,12/14/1955,date
142,When did Austria achieve membership status within the United Nations?,12/14/1955,date
143,At what specific date did Austria enter the United Nations?,12/14/1955,date
144,When did Austria become part of the United Nations?,12/14/1955,date
145,At what date did Austria receive membership in the United Nations?,12/14/1955,date
146,When was Austria accepted as a member of the United Nations?,12/14/1955,date
147,give me the date when Austria became a member of the UN,12/14/1955,date
148,When did Austria obtain its United Nations membership?,12/14/1955,date
149,what was the date when Austria acquired membership in the United Nations?,12/14/1955,date
150,At what date did Azerbaijan attain membership in the United Nations?,03/02/1992,date
151,When was Azerbaijan admitted to the United Nations?,03/02/1992,date
152,At what date did Azerbaijan gain entry into the United Nations?,03/02/1992,date
153,When did Azerbaijan become a member state of the United Nations?,03/02/1992,date
154,give me Azerbaijan’s date of admission (dd/mm/yyyy format) into the UN,03/02/1992,date
155,When was Azerbaijan granted UN membership?,03/02/1992,date
156,At what date did Azerbaijan secure its place in the United Nations?,03/02/1992,date
157,When did Azerbaijan achieve membership status within the United Nations?,03/02/1992,date
158,At what specific date did Azerbaijan enter the United Nations?,03/02/1992,date
159,When did Azerbaijan become part of the United Nations?,03/02/1992,date
160,At what date did Azerbaijan receive membership in the United Nations?,03/02/1992,date
161,When was Azerbaijan accepted as a member of the United Nations?,03/02/1992,date
162,give me the date when Azerbaijan became a member of the UN,03/02/1992,date
163,When did Azerbaijan obtain its United Nations membership?,03/02/1992,date
164,what was the date when Azerbaijan acquired membership in the United Nations?,03/02/1992,date
165,At what date did Bahamas attain membership in the United Nations?,09/18/1973,date
166,When was Bahamas admitted to the United Nations?,09/18/1973,date
167,At what date did Bahamas gain entry into the United Nations?,09/18/1973,date
168,When did Bahamas become a member state of the United Nations?,09/18/1973,date
169,give me Bahamas’s date of admission (dd/mm/yyyy format) into the UN,09/18/1973,date
170,When was Bahamas granted UN membership?,09/18/1973,date
171,At what date did Bahamas secure its place in the United Nations?,09/18/1973,date
172,When did Bahamas achieve membership status within the United Nations?,09/18/1973,date
173,At what specific date did Bahamas enter the United Nations?,09/18/1973,date
174,When did Bahamas become part of the United Nations?,09/18/1973,date
175,At what date did Bahamas receive membership in the United Nations?,09/18/1973,date
176,When was Bahamas accepted as a member of the United Nations?,09/18/1973,date
177,give me the date when Bahamas became a member of the UN,09/18/1973,date
178,When did Bahamas obtain its United Nations membership?,09/18/1973,date
179,what was the date when Bahamas acquired membership in the United Nations?,09/18/1973,date
180,At what date did Bahrain attain membership in the United Nations?,09/21/1971,date
181,When was Bahrain admitted to the United Nations?,09/21/1971,date
182,At what date did Bahrain gain entry into the United Nations?,09/21/1971,date
183,When did Bahrain become a member state of the United Nations?,09/21/1971,date
184,give me Bahrain’s date of admission (dd/mm/yyyy format) into the UN,09/21/1971,date
185,When was Bahrain granted UN membership?,09/21/1971,date
186,At what date did Bahrain secure its place in the United Nations?,09/21/1971,date
187,When did Bahrain achieve membership status within the United Nations?,09/21/1971,date
188,At what specific date did Bahrain enter the United Nations?,09/21/1971,date
189,When did Bahrain become part of the United Nations?,09/21/1971,date
190,At what date did Bahrain receive membership in the United Nations?,09/21/1971,date
191,When was Bahrain accepted as a member of the United Nations?,09/21/1971,date
192,give me the date when Bahrain became a member of the UN,09/21/1971,date
193,When did Bahrain obtain its United Nations membership?,09/21/1971,date
194,what was the date when Bahrain acquired membership in the United Nations?,09/21/1971,date
195,At what date did Bangladesh attain membership in the United Nations?,09/17/1974,date
196,When was Bangladesh admitted to the United Nations?,09/17/1974,date
197,At what date did Bangladesh gain entry into the United Nations?,09/17/1974,date
198,When did Bangladesh become a member state of the United Nations?,09/17/1974,date
199,give me Bangladesh’s date of admission (dd/mm/yyyy format) into the UN,09/17/1974,date
200,When was Bangladesh granted UN membership?,09/17/1974,date
201,At what date did Bangladesh secure its place in the United Nations?,09/17/1974,date
202,When did Bangladesh achieve membership status within the United Nations?,09/17/1974,date
203,At what specific date did Bangladesh enter the United Nations?,09/17/1974,date
204,When did Bangladesh become part of the United Nations?,09/17/1974,date
205,At what date did Bangladesh receive membership in the United Nations?,09/17/1974,date
206,When was Bangladesh accepted as a member of the United Nations?,09/17/1974,date
207,give me the date when Bangladesh became a member of the UN,09/17/1974,date
208,When did Bangladesh obtain its United Nations membership?,09/17/1974,date
209,what was the date when Bangladesh acquired membership in the United Nations?,09/17/1974,date
210,At what date did Barbados attain membership in the United Nations?,12/09/1966,date
211,When was Barbados admitted to the United Nations?,12/09/1966,date
212,At what date did Barbados gain entry into the United Nations?,12/09/1966,date
213,When did Barbados become a member state of the United Nations?,12/09/1966,date
214,give me Barbados’s date of admission (dd/mm/yyyy format) into the UN,12/09/1966,date
215,When was Barbados granted UN membership?,12/09/1966,date
216,At what date did Barbados secure its place in the United Nations?,12/09/1966,date
217,When did Barbados achieve membership status within the United Nations?,12/09/1966,date
218,At what specific date did Barbados enter the United Nations?,12/09/1966,date
219,When did Barbados become part of the United Nations?,12/09/1966,date
220,At what date did Barbados receive membership in the United Nations?,12/09/1966,date
221,When was Barbados accepted as a member of the United Nations?,12/09/1966,date
222,give me the date when Barbados became a member of the UN,12/09/1966,date
223,When did Barbados obtain its United Nations membership?,12/09/1966,date
224,what was the date when Barbados acquired membership in the United Nations?,12/09/1966,date
225,At what date did Belarus attain membership in the United Nations?,10/24/1945,date
226,When was Belarus admitted to the United Nations?,10/24/1945,date
227,At what date did Belarus gain entry into the United Nations?,10/24/1945,date
228,When did Belarus become a member state of the United Nations?,10/24/1945,date
229,give me Belarus’s date of admission (dd/mm/yyyy format) into the UN,10/24/1945,date
230,When was Belarus granted UN membership?,10/24/1945,date
231,At what date did Belarus secure its place in the United Nations?,10/24/1945,date
232,When did Belarus achieve membership status within the United Nations?,10/24/1945,date
233,At what specific date did Belarus enter the United Nations?,10/24/1945,date
234,When did Belarus become part of the United Nations?,10/24/1945,date
235,At what date did Belarus receive membership in the United Nations?,10/24/1945,date
236,When was Belarus accepted as a member of the United Nations?,10/24/1945,date
237,give me the date when Belarus became a member of the UN,10/24/1945,date
238,When did Belarus obtain its United Nations membership?,10/24/1945,date
239,what was the date when Belarus acquired membership in the United Nations?,10/24/1945,date
240,At what date did Belgium attain membership in the United Nations?,12/27/1945,date
241,When was Belgium admitted to the United Nations?,12/27/1945,date
242,At what date did Belgium gain entry into the United Nations?,12/27/1945,date
243,When did Belgium become a member state of the United Nations?,12/27/1945,date
244,give me Belgium’s date of admission (dd/mm/yyyy format) into the UN,12/27/1945,date
245,When was Belgium granted UN membership?,12/27/1945,date
246,At what date did Belgium secure its place in the United Nations?,12/27/1945,date
247,When did Belgium achieve membership status within the United Nations?,12/27/1945,date
248,At what specific date did Belgium enter the United Nations?,12/27/1945,date
249,When did Belgium become part of the United Nations?,12/27/1945,date
250,At what date did Belgium receive membership in the United Nations?,12/27/1945,date
251,When was Belgium accepted as a member of the United Nations?,12/27/1945,date
252,give me the date when Belgium became a member of the UN,12/27/1945,date
253,When did Belgium obtain its United Nations membership?,12/27/1945,date
254,what was the date when Belgium acquired membership in the United Nations?,12/27/1945,date
255,At what date did Belize attain membership in the United Nations?,09/25/1981,date
256,When was Belize admitted to the United Nations?,09/25/1981,date
257,At what date did Belize gain entry into the United Nations?,09/25/1981,date
258,When did Belize become a member state of the United Nations?,09/25/1981,date
259,give me Belize’s date of admission (dd/mm/yyyy format) into the UN,09/25/1981,date
260,When was Belize granted UN membership?,09/25/1981,date
261,At what date did Belize secure its place in the United Nations?,09/25/1981,date
262,When did Belize achieve membership status within the United Nations?,09/25/1981,date
263,At what specific date did Belize enter the United Nations?,09/25/1981,date
264,When did Belize become part of the United Nations?,09/25/1981,date
265,At what date did Belize receive membership in the United Nations?,09/25/1981,date
266,When was Belize accepted as a member of the United Nations?,09/25/1981,date
267,give me the date when Belize became a member of the UN,09/25/1981,date
268,When did Belize obtain its United Nations membership?,09/25/1981,date
269,what was the date when Belize acquired membership in the United Nations?,09/25/1981,date
270,At what date did Benin attain membership in the United Nations?,09/20/1960,date
271,When was Benin admitted to the United Nations?,09/20/1960,date
272,At what date did Benin gain entry into the United Nations?,09/20/1960,date
273,When did Benin become a member state of the United Nations?,09/20/1960,date
274,give me Benin’s date of admission (dd/mm/yyyy format) into the UN,09/20/1960,date
275,When was Benin granted UN membership?,09/20/1960,date
276,At what date did Benin secure its place in the United Nations?,09/20/1960,date
277,When did Benin achieve membership status within the United Nations?,09/20/1960,date
278,At what specific date did Benin enter the United Nations?,09/20/1960,date
279,When did Benin become part of the United Nations?,09/20/1960,date
280,At what date did Benin receive membership in the United Nations?,09/20/1960,date
281,When was Benin accepted as a member of the United Nations?,09/20/1960,date
282,give me the date when Benin became a member of the UN,09/20/1960,date
283,When did Benin obtain its United Nations membership?,09/20/1960,date
284,what was the date when Benin acquired membership in the United Nations?,09/20/1960,date
285,At what date did Bhutan attain membership in the United Nations?,09/21/1971,date
286,When was Bhutan admitted to the United Nations?,09/21/1971,date
287,At what date did Bhutan gain entry into the United Nations?,09/21/1971,date
288,When did Bhutan become a member state of the United Nations?,09/21/1971,date
289,give me Bhutan’s date of admission (dd/mm/yyyy format) into the UN,09/21/1971,date
290,When was Bhutan granted UN membership?,09/21/1971,date
291,At what date did Bhutan secure its place in the United Nations?,09/21/1971,date
292,When did Bhutan achieve membership status within the United Nations?,09/21/1971,date
293,At what specific date did Bhutan enter the United Nations?,09/21/1971,date
294,When did Bhutan become part of the United Nations?,09/21/1971,date
295,At what date did Bhutan receive membership in the United Nations?,09/21/1971,date
296,When was Bhutan accepted as a member of the United Nations?,09/21/1971,date
297,give me the date when Bhutan became a member of the UN,09/21/1971,date
298,When did Bhutan obtain its United Nations membership?,09/21/1971,date
299,what was the date when Bhutan acquired membership in the United Nations?,09/21/1971,date
300,At what date did Bolivia attain membership in the United Nations?,11/14/1945,date
301,When was Bolivia admitted to the United Nations?,11/14/1945,date
302,At what date did Bolivia gain entry into the United Nations?,11/14/1945,date
303,When did Bolivia become a member state of the United Nations?,11/14/1945,date
304,give me Bolivia’s date of admission (dd/mm/yyyy format) into the UN,11/14/1945,date
305,When was Bolivia granted UN membership?,11/14/1945,date
306,At what date did Bolivia secure its place in the United Nations?,11/14/1945,date
307,When did Bolivia achieve membership status within the United Nations?,11/14/1945,date
308,At what specific date did Bolivia enter the United Nations?,11/14/1945,date
309,When did Bolivia become part of the United Nations?,11/14/1945,date
310,At what date did Bolivia receive membership in the United Nations?,11/14/1945,date
311,When was Bolivia accepted as a member of the United Nations?,11/14/1945,date
312,give me the date when Bolivia became a member of the UN,11/14/1945,date
313,When did Bolivia obtain its United Nations membership?,11/14/1945,date
314,what was the date when Bolivia acquired membership in the United Nations?,11/14/1945,date
315,At what date did Bosnia and Herzegovina attain membership in the United Nations?,05/22/1992,date
316,When was Bosnia and Herzegovina admitted to the United Nations?,05/22/1992,date
317,At what date did Bosnia and Herzegovina gain entry into the United Nations?,05/22/1992,date
318,When did Bosnia and Herzegovina become a member state of the United Nations?,05/22/1992,date
319,give me Bosnia and Herzegovina’s date of admission (dd/mm/yyyy format) into the UN,05/22/1992,date
320,When was Bosnia and Herzegovina granted UN membership?,05/22/1992,date
321,At what date did Bosnia and Herzegovina secure its place in the United Nations?,05/22/1992,date
322,When did Bosnia and Herzegovina achieve membership status within the United Nations?,05/22/1992,date
323,At what specific date did Bosnia and Herzegovina enter the United Nations?,05/22/1992,date
324,When did Bosnia and Herzegovina become part of the United Nations?,05/22/1992,date
325,At what date did Bosnia and Herzegovina receive membership in the United Nations?,05/22/1992,date
326,When was Bosnia and Herzegovina accepted as a member of the United Nations?,05/22/1992,date
327,give me the date when Bosnia and Herzegovina became a member of the UN,05/22/1992,date
328,When did Bosnia and Herzegovina obtain its United Nations membership?,05/22/1992,date
329,what was the date when Bosnia and Herzegovina acquired membership in the United Nations?,05/22/1992,date
330,At what date did Botswana attain membership in the United Nations?,10/17/1966,date
331,When was Botswana admitted to the United Nations?,10/17/1966,date
332,At what date did Botswana gain entry into the United Nations?,10/17/1966,date
333,When did Botswana become a member state of the United Nations?,10/17/1966,date
334,give me Botswana’s date of admission (dd/mm/yyyy format) into the UN,10/17/1966,date
335,When was Botswana granted UN membership?,10/17/1966,date
336,At what date did Botswana secure its place in the United Nations?,10/17/1966,date
337,When did Botswana achieve membership status within the United Nations?,10/17/1966,date
338,At what specific date did Botswana enter the United Nations?,10/17/1966,date
339,When did Botswana become part of the United Nations?,10/17/1966,date
340,At what date did Botswana receive membership in the United Nations?,10/17/1966,date
341,When was Botswana accepted as a member of the United Nations?,10/17/1966,date
342,give me the date when Botswana became a member of the UN,10/17/1966,date
343,When did Botswana obtain its United Nations membership?,10/17/1966,date
344,what was the date when Botswana acquired membership in the United Nations?,10/17/1966,date
345,At what date did Brazil attain membership in the United Nations?,10/24/1945,date
346,When was Brazil admitted to the United Nations?,10/24/1945,date
347,At what date did Brazil gain entry into the United Nations?,10/24/1945,date
348,When did Brazil become a member state of the United Nations?,10/24/1945,date
349,give me Brazil’s date of admission (dd/mm/yyyy format) into the UN,10/24/1945,date
350,When was Brazil granted UN membership?,10/24/1945,date
351,At what date did Brazil secure its place in the United Nations?,10/24/1945,date
352,When did Brazil achieve membership status within the United Nations?,10/24/1945,date
353,At what specific date did Brazil enter the United Nations?,10/24/1945,date
354,When did Brazil become part of the United Nations?,10/24/1945,date
355,At what date did Brazil receive membership in the United Nations?,10/24/1945,date
356,When was Brazil accepted as a member of the United Nations?,10/24/1945,date
357,give me the date when Brazil became a member of the UN,10/24/1945,date
358,When did Brazil obtain its United Nations membership?,10/24/1945,date
359,what was the date when Brazil acquired membership in the United Nations?,10/24/1945,date
360,At what date did Brunei Darussalam attain membership in the United Nations?,09/21/1984,date
361,When was Brunei Darussalam admitted to the United Nations?,09/21/1984,date
362,At what date did Brunei Darussalam gain entry into the United Nations?,09/21/1984,date
363,When did Brunei Darussalam become a member state of the United Nations?,09/21/1984,date
364,give me Brunei Darussalam’s date of admission (dd/mm/yyyy format) into the UN,09/21/1984,date
365,When was Brunei Darussalam granted UN membership?,09/21/1984,date
366,At what date did Brunei Darussalam secure its place in the United Nations?,09/21/1984,date
367,When did Brunei Darussalam achieve membership status within the United Nations?,09/21/1984,date
368,At what specific date did Brunei Darussalam enter the United Nations?,09/21/1984,date
369,When did Brunei Darussalam become part of the United Nations?,09/21/1984,date
370,At what date did Brunei Darussalam receive membership in the United Nations?,09/21/1984,date
371,When was Brunei Darussalam accepted as a member of the United Nations?,09/21/1984,date
372,give me the date when Brunei Darussalam became a member of the UN,09/21/1984,date
373,When did Brunei Darussalam obtain its United Nations membership?,09/21/1984,date
374,what was the date when Brunei Darussalam acquired membership in the United Nations?,09/21/1984,date
375,At what date did Bulgaria attain membership in the United Nations?,12/14/1955,date
376,When was Bulgaria admitted to the United Nations?,12/14/1955,date
377,At what date did Bulgaria gain entry into the United Nations?,12/14/1955,date
378,When did Bulgaria become a member state of the United Nations?,12/14/1955,date
379,give me Bulgaria’s date of admission (dd/mm/yyyy format) into the UN,12/14/1955,date
380,When was Bulgaria granted UN membership?,12/14/1955,date
381,At what date did Bulgaria secure its place in the United Nations?,12/14/1955,date
382,When did Bulgaria achieve membership status within the United Nations?,12/14/1955,date
383,At what specific date did Bulgaria enter the United Nations?,12/14/1955,date
384,When did Bulgaria become part of the United Nations?,12/14/1955,date
385,At what date did Bulgaria receive membership in the United Nations?,12/14/1955,date
386,When was Bulgaria accepted as a member of the United Nations?,12/14/1955,date
387,give me the date when Bulgaria became a member of the UN,12/14/1955,date
388,When did Bulgaria obtain its United Nations membership?,12/14/1955,date
389,what was the date when Bulgaria acquired membership in the United Nations?,12/14/1955,date
390,At what date did Burkina Faso attain membership in the United Nations?,09/20/1960,date
391,When was Burkina Faso admitted to the United Nations?,09/20/1960,date
392,At what date did Burkina Faso gain entry into the United Nations?,09/20/1960,date
393,When did Burkina Faso become a member state of the United Nations?,09/20/1960,date
394,give me Burkina Faso’s date of admission (dd/mm/yyyy format) into the UN,09/20/1960,date
395,When was Burkina Faso granted UN membership?,09/20/1960,date
396,At what date did Burkina Faso secure its place in the United Nations?,09/20/1960,date
397,When did Burkina Faso achieve membership status within the United Nations?,09/20/1960,date
398,At what specific date did Burkina Faso enter the United Nations?,09/20/1960,date
399,When did Burkina Faso become part of the United Nations?,09/20/1960,date
400,At what date did Burkina Faso receive membership in the United Nations?,09/20/1960,date
401,When was Burkina Faso accepted as a member of the United Nations?,09/20/1960,date
402,give me the date when Burkina Faso became a member of the UN,09/20/1960,date
403,When did Burkina Faso obtain its United Nations membership?,09/20/1960,date
404,what was the date when Burkina Faso acquired membership in the United Nations?,09/20/1960,date
405,At what date did Burundi attain membership in the United Nations?,09/18/1962,date
406,When was Burundi admitted to the United Nations?,09/18/1962,date
407,At what date did Burundi gain entry into the United Nations?,09/18/1962,date
408,When did Burundi become a member state of the United Nations?,09/18/1962,date
409,give me Burundi’s date of admission (dd/mm/yyyy format) into the UN,09/18/1962,date
410,When was Burundi granted UN membership?,09/18/1962,date
411,At what date did Burundi secure its place in the United Nations?,09/18/1962,date
412,When did Burundi achieve membership status within the United Nations?,09/18/1962,date
413,At what specific date did Burundi enter the United Nations?,09/18/1962,date
414,When did Burundi become part of the United Nations?,09/18/1962,date
415,At what date did Burundi receive membership in the United Nations?,09/18/1962,date
416,When was Burundi accepted as a member of the United Nations?,09/18/1962,date
417,give me the date when Burundi became a member of the UN,09/18/1962,date
418,When did Burundi obtain its United Nations membership?,09/18/1962,date
419,what was the date when Burundi acquired membership in the United Nations?,09/18/1962,date
420,At what date did Cabo Verde attain membership in the United Nations?,09/16/1975,date
421,When was Cabo Verde admitted to the United Nations?,09/16/1975,date
422,At what date did Cabo Verde gain entry into the United Nations?,09/16/1975,date
423,When did Cabo Verde become a member state of the United Nations?,09/16/1975,date
424,give me Cabo Verde’s date of admission (dd/mm/yyyy format) into the UN,09/16/1975,date
425,When was Cabo Verde granted UN membership?,09/16/1975,date
426,At what date did Cabo Verde secure its place in the United Nations?,09/16/1975,date
427,When did Cabo Verde achieve membership status within the United Nations?,09/16/1975,date
428,At what specific date did Cabo Verde enter the United Nations?,09/16/1975,date
429,When did Cabo Verde become part of the United Nations?,09/16/1975,date
430,At what date did Cabo Verde receive membership in the United Nations?,09/16/1975,date
431,When was Cabo Verde accepted as a member of the United Nations?,09/16/1975,date
432,give me the date when Cabo Verde became a member of the UN,09/16/1975,date
433,When did Cabo Verde obtain its United Nations membership?,09/16/1975,date
434,what was the date when Cabo Verde acquired membership in the United Nations?,09/16/1975,date
435,At what date did Cambodia attain membership in the United Nations?,12/14/1955,date
436,When was Cambodia admitted to the United Nations?,12/14/1955,date
437,At what date did Cambodia gain entry into the United Nations?,12/14/1955,date
438,When did Cambodia become a member state of the United Nations?,12/14/1955,date
439,give me Cambodia’s date of admission (dd/mm/yyyy format) into the UN,12/14/1955,date
440,When was Cambodia granted UN membership?,12/14/1955,date
441,At what date did Cambodia secure its place in the United Nations?,12/14/1955,date
442,When did Cambodia achieve membership status within the United Nations?,12/14/1955,date
