Unnamed: 0,questions,answer,type
97,How many individuals aged 0-4 were living in Tasmania in 2011?,"30,231",numeric
98,What was the count of Tasmania's 0-4 age range population in 2011?,"30,231",numeric
99,What was the population size of Tasmania's 0-4 age group in 2011?,"30,231",numeric
100,What was the population census result for Tasmania's 0-4 age cohort in 2011?,"30,231",numeric
101,How many people in the age group 0-4 were accounted for in Tasmania's 2011 census?,"30,231",numeric
102,What was the population total for Tasmania's 0-4 age demographic in 2011?,"30,231",numeric
103,"In 2011, what was the population of Tasmania of the age group 0-4 years?","30,231",numeric
104,population of Tasmania in 2011 between 0-4 age group,"30,231",numeric
105,What was the population count of Northern Territory's 0-4 age group in 2011?,"16,415",numeric
106,How many individuals aged 0-4 were there in Northern Territory in 2011?,"16,415",numeric
107,What was Northern Territory's population figure for the 0-4 age bracket in 2011?,"16,415",numeric
108,"In 2011, what was the number of people aged 0-4 residing in Northern Territory?","16,415",numeric
109,What was the demographic size of Northern Territory's 0-4 age category in 2011?,"16,415",numeric
110,How many residents aged 0-4 were recorded in Northern Territory in 2011?,"16,415",numeric
111,What was the population tally for Northern Territory's 0-4 age group in 2011?,"16,415",numeric
112,How many individuals aged 0-4 were living in Northern Territory in 2011?,"16,415",numeric
113,What was the count of Northern Territory's 0-4 age range population in 2011?,"16,415",numeric
114,What was the population size of Northern Territory's 0-4 age group in 2011?,"16,415",numeric
115,What was the population census result for Northern Territory's 0-4 age cohort in 2011?,"16,415",numeric
116,How many people in the age group 0-4 were accounted for in Northern Territory's 2011 census?,"16,415",numeric
117,What was the population total for Northern Territory's 0-4 age demographic in 2011?,"16,415",numeric
118,"In 2011, what was the population of Northern Territory of the age group 0-4 years?","16,415",numeric
119,population of Northern Territory in 2011 between 0-4 age group,"16,415",numeric
120,What was the population count of Australian Capital Territory's 0-4 age group in 2011?,"21,411",numeric
121,How many individuals aged 0-4 were there in Australian Capital Territory in 2011?,"21,411",numeric
122,What was Australian Capital Territory's population figure for the 0-4 age bracket in 2011?,"21,411",numeric
123,"In 2011, what was the number of people aged 0-4 residing in Australian Capital Territory?","21,411",numeric
124,What was the demographic size of Australian Capital Territory's 0-4 age category in 2011?,"21,411",numeric
125,How many residents aged 0-4 were recorded in Australian Capital Territory in 2011?,"21,411",numeric
126,What was the population tally for Australian Capital Territory's 0-4 age group in 2011?,"21,411",numeric
127,How many individuals aged 0-4 were living in Australian Capital Territory in 2011?,"21,411",numeric
128,What was the count of Australian Capital Territory's 0-4 age range population in 2011?,"21,411",numeric
129,What was the population size of Australian Capital Territory's 0-4 age group in 2011?,"21,411",numeric
130,What was the population census result for Australian Capital Territory's 0-4 age cohort in 2011?,"21,411",numeric
131,How many people in the age group 0-4 were accounted for in Australian Capital Territory's 2011 census?,"21,411",numeric
132,What was the population total for Australian Capital Territory's 0-4 age demographic in 2011?,"21,411",numeric
133,"In 2011, what was the population of Australian Capital Territory of the age group 0-4 years?","21,411",numeric
134,population of Australian Capital Territory in 2011 between 0-4 age group,"21,411",numeric
135,What was the population count of Australia's 5-9  age group in 2011?,"1,371,054",numeric
136,How many individuals aged 5-9  were there in Australia in 2011?,"1,371,054",numeric
137,What was Australia's population figure for the 5-9  age bracket in 2011?,"1,371,054",numeric
138,"In 2011, what was the number of people aged 5-9  residing in Australia?","1,371,054",numeric
139,What was the demographic size of Australia's 5-9  age category in 2011?,"1,371,054",numeric
140,How many residents aged 5-9  were recorded in Australia in 2011?,"1,371,054",numeric
141,What was the population tally for Australia's 5-9  age group in 2011?,"1,371,054",numeric
142,How many individuals aged 5-9  were living in Australia in 2011?,"1,371,054",numeric
143,What was the count of Australia's 5-9  age range population in 2011?,"1,371,054",numeric
144,What was the population size of Australia's 5-9  age group in 2011?,"1,371,054",numeric
145,What was the population census result for Australia's 5-9  age cohort in 2011?,"1,371,054",numeric
146,How many people in the age group 5-9  were accounted for in Australia's 2011 census?,"1,371,054",numeric
147,What was the population total for Australia's 5-9  age demographic in 2011?,"1,371,054",numeric
148,"In 2011, what was the population of Australia of the age group 5-9  years?","1,371,054",numeric
149,population of Australia in 2011 between 5-9  age group,"1,371,054",numeric
150,What was the population count of New South Wales's 5-9  age group in 2011?,"439,168",numeric
151,How many individuals aged 5-9  were there in New South Wales in 2011?,"439,168",numeric
152,What was New South Wales's population figure for the 5-9  age bracket in 2011?,"439,168",numeric
153,"In 2011, what was the number of people aged 5-9  residing in New South Wales?","439,168",numeric
154,What was the demographic size of New South Wales's 5-9  age category in 2011?,"439,168",numeric
155,How many residents aged 5-9  were recorded in New South Wales in 2011?,"439,168",numeric
156,What was the population tally for New South Wales's 5-9  age group in 2011?,"439,168",numeric
157,How many individuals aged 5-9  were living in New South Wales in 2011?,"439,168",numeric
158,What was the count of New South Wales's 5-9  age range population in 2011?,"439,168",numeric
159,What was the population size of New South Wales's 5-9  age group in 2011?,"439,168",numeric
160,What was the population census result for New South Wales's 5-9  age cohort in 2011?,"439,168",numeric
161,How many people in the age group 5-9  were accounted for in New South Wales's 2011 census?,"439,168",numeric
162,What was the population total for New South Wales's 5-9  age demographic in 2011?,"439,168",numeric
163,"In 2011, what was the population of New South Wales of the age group 5-9  years?","439,168",numeric
164,population of New South Wales in 2011 between 5-9  age group,"439,168",numeric
165,What was the population count of Victoria's 5-9  age group in 2011?,"327,939",numeric
166,How many individuals aged 5-9  were there in Victoria in 2011?,"327,939",numeric
167,What was Victoria's population figure for the 5-9  age bracket in 2011?,"327,939",numeric
168,"In 2011, what was the number of people aged 5-9  residing in Victoria?","327,939",numeric
169,What was the demographic size of Victoria's 5-9  age category in 2011?,"327,939",numeric
170,How many residents aged 5-9  were recorded in Victoria in 2011?,"327,939",numeric
171,What was the population tally for Victoria's 5-9  age group in 2011?,"327,939",numeric
172,How many individuals aged 5-9  were living in Victoria in 2011?,"327,939",numeric
173,What was the count of Victoria's 5-9  age range population in 2011?,"327,939",numeric
174,What was the population size of Victoria's 5-9  age group in 2011?,"327,939",numeric
175,What was the population census result for Victoria's 5-9  age cohort in 2011?,"327,939",numeric
176,How many people in the age group 5-9  were accounted for in Victoria's 2011 census?,"327,939",numeric
177,What was the population total for Victoria's 5-9  age demographic in 2011?,"327,939",numeric
178,"In 2011, what was the population of Victoria of the age group 5-9  years?","327,939",numeric
179,population of Victoria in 2011 between 5-9  age group,"327,939",numeric
180,What was the population count of Queensland's 5-9  age group in 2011?,"290,982",numeric
181,How many individuals aged 5-9  were there in Queensland in 2011?,"290,982",numeric
182,What was Queensland's population figure for the 5-9  age bracket in 2011?,"290,982",numeric
183,"In 2011, what was the number of people aged 5-9  residing in Queensland?","290,982",numeric
184,What was the demographic size of Queensland's 5-9  age category in 2011?,"290,982",numeric
185,How many residents aged 5-9  were recorded in Queensland in 2011?,"290,982",numeric
186,What was the population tally for Queensland's 5-9  age group in 2011?,"290,982",numeric
187,How many individuals aged 5-9  were living in Queensland in 2011?,"290,982",numeric
188,What was the count of Queensland's 5-9  age range population in 2011?,"290,982",numeric
189,What was the population size of Queensland's 5-9  age group in 2011?,"290,982",numeric
190,What was the population census result for Queensland's 5-9  age cohort in 2011?,"290,982",numeric
191,How many people in the age group 5-9  were accounted for in Queensland's 2011 census?,"290,982",numeric
192,What was the population total for Queensland's 5-9  age demographic in 2011?,"290,982",numeric
193,"In 2011, what was the population of Queensland of the age group 5-9  years?","290,982",numeric
194,population of Queensland in 2011 between 5-9  age group,"290,982",numeric
195,What was the population count of South Australia's 5-9  age group in 2011?,"97,591",numeric
196,How many individuals aged 5-9  were there in South Australia in 2011?,"97,591",numeric
197,What was South Australia's population figure for the 5-9  age bracket in 2011?,"97,591",numeric
198,"In 2011, what was the number of people aged 5-9  residing in South Australia?","97,591",numeric
199,What was the demographic size of South Australia's 5-9  age category in 2011?,"97,591",numeric
200,How many residents aged 5-9  were recorded in South Australia in 2011?,"97,591",numeric
201,What was the population tally for South Australia's 5-9  age group in 2011?,"97,591",numeric
202,How many individuals aged 5-9  were living in South Australia in 2011?,"97,591",numeric
203,What was the count of South Australia's 5-9  age range population in 2011?,"97,591",numeric
204,What was the population size of South Australia's 5-9  age group in 2011?,"97,591",numeric
205,What was the population census result for South Australia's 5-9  age cohort in 2011?,"97,591",numeric
206,How many people in the age group 5-9  were accounted for in South Australia's 2011 census?,"97,591",numeric
207,What was the population total for South Australia's 5-9  age demographic in 2011?,"97,591",numeric
208,"In 2011, what was the population of South Australia of the age group 5-9  years?","97,591",numeric
209,population of South Australia in 2011 between 5-9  age group,"97,591",numeric
210,What was the population count of Western Australia's 5-9  age group in 2011?,"146,035",numeric
211,How many individuals aged 5-9  were there in Western Australia in 2011?,"146,035",numeric
212,What was Western Australia's population figure for the 5-9  age bracket in 2011?,"146,035",numeric
213,"In 2011, what was the number of people aged 5-9  residing in Western Australia?","146,035",numeric
214,What was the demographic size of Western Australia's 5-9  age category in 2011?,"146,035",numeric
215,How many residents aged 5-9  were recorded in Western Australia in 2011?,"146,035",numeric
216,What was the population tally for Western Australia's 5-9  age group in 2011?,"146,035",numeric
217,How many individuals aged 5-9  were living in Western Australia in 2011?,"146,035",numeric
218,What was the count of Western Australia's 5-9  age range population in 2011?,"146,035",numeric
219,What was the population size of Western Australia's 5-9  age group in 2011?,"146,035",numeric
220,What was the population census result for Western Australia's 5-9  age cohort in 2011?,"146,035",numeric
221,How many people in the age group 5-9  were accounted for in Western Australia's 2011 census?,"146,035",numeric
222,What was the population total for Western Australia's 5-9  age demographic in 2011?,"146,035",numeric
223,"In 2011, what was the population of Western Australia of the age group 5-9  years?","146,035",numeric
224,population of Western Australia in 2011 between 5-9  age group,"146,035",numeric
225,What was the population count of Tasmania's 5-9  age group in 2011?,"32,455",numeric
226,How many individuals aged 5-9  were there in Tasmania in 2011?,"32,455",numeric
227,What was Tasmania's population figure for the 5-9  age bracket in 2011?,"32,455",numeric
228,"In 2011, what was the number of people aged 5-9  residing in Tasmania?","32,455",numeric
229,What was the demographic size of Tasmania's 5-9  age category in 2011?,"32,455",numeric
230,How many residents aged 5-9  were recorded in Tasmania in 2011?,"32,455",numeric
231,What was the population tally for Tasmania's 5-9  age group in 2011?,"32,455",numeric
232,How many individuals aged 5-9  were living in Tasmania in 2011?,"32,455",numeric
233,What was the count of Tasmania's 5-9  age range population in 2011?,"32,455",numeric
234,What was the population size of Tasmania's 5-9  age group in 2011?,"32,455",numeric
235,What was the population census result for Tasmania's 5-9  age cohort in 2011?,"32,455",numeric
236,How many people in the age group 5-9  were accounted for in Tasmania's 2011 census?,"32,455",numeric
237,What was the population total for Tasmania's 5-9  age demographic in 2011?,"32,455",numeric
238,"In 2011, what was the population of Tasmania of the age group 5-9  years?","32,455",numeric
239,population of Tasmania in 2011 between 5-9  age group,"32,455",numeric
240,What was the population count of Northern Territory's 5-9  age group in 2011?,"15,608",numeric
241,How many individuals aged 5-9  were there in Northern Territory in 2011?,"15,608",numeric
242,What was Northern Territory's population figure for the 5-9  age bracket in 2011?,"15,608",numeric
243,"In 2011, what was the number of people aged 5-9  residing in Northern Territory?","15,608",numeric
244,What was the demographic size of Northern Territory's 5-9  age category in 2011?,"15,608",numeric
245,How many residents aged 5-9  were recorded in Northern Territory in 2011?,"15,608",numeric
246,What was the population tally for Northern Territory's 5-9  age group in 2011?,"15,608",numeric
247,How many individuals aged 5-9  were living in Northern Territory in 2011?,"15,608",numeric
248,What was the count of Northern Territory's 5-9  age range population in 2011?,"15,608",numeric
249,What was the population size of Northern Territory's 5-9  age group in 2011?,"15,608",numeric
250,What was the population census result for Northern Territory's 5-9  age cohort in 2011?,"15,608",numeric
251,How many people in the age group 5-9  were accounted for in Northern Territory's 2011 census?,"15,608",numeric
252,What was the population total for Northern Territory's 5-9  age demographic in 2011?,"15,608",numeric
253,"In 2011, what was the population of Northern Territory of the age group 5-9  years?","15,608",numeric
254,population of Northern Territory in 2011 between 5-9  age group,"15,608",numeric
255,What was the population count of Australian Capital Territory's 5-9  age group in 2011?,"21,089",numeric
256,How many individuals aged 5-9  were there in Australian Capital Territory in 2011?,"21,089",numeric
257,What was Australian Capital Territory's population figure for the 5-9  age bracket in 2011?,"21,089",numeric
258,"In 2011, what was the number of people aged 5-9  residing in Australian Capital Territory?","21,089",numeric
259,What was the demographic size of Australian Capital Territory's 5-9  age category in 2011?,"21,089",numeric
260,How many residents aged 5-9  were recorded in Australian Capital Territory in 2011?,"21,089",numeric
261,What was the population tally for Australian Capital Territory's 5-9  age group in 2011?,"21,089",numeric
262,How many individuals aged 5-9  were living in Australian Capital Territory in 2011?,"21,089",numeric
263,What was the count of Australian Capital Territory's 5-9  age range population in 2011?,"21,089",numeric
264,What was the population size of Australian Capital Territory's 5-9  age group in 2011?,"21,089",numeric
265,What was the population census result for Australian Capital Territory's 5-9  age cohort in 2011?,"21,089",numeric
266,How many people in the age group 5-9  were accounted for in Australian Capital Territory's 2011 census?,"21,089",numeric
267,What was the population total for Australian Capital Territory's 5-9  age demographic in 2011?,"21,089",numeric
268,"In 2011, what was the population of Australian Capital Territory of the age group 5-9  years?","21,089",numeric
269,population of Australian Capital Territory in 2011 between 5-9  age group,"21,089",numeric
270,What was the population count of Australia's 10-14  age group in 2011?,"1,405,798",numeric
271,How many individuals aged 10-14  were there in Australia in 2011?,"1,405,798",numeric
272,What was Australia's population figure for the 10-14  age bracket in 2011?,"1,405,798",numeric
273,"In 2011, what was the number of people aged 10-14  residing in Australia?","1,405,798",numeric
274,What was the demographic size of Australia's 10-14  age category in 2011?,"1,405,798",numeric
275,How many residents aged 10-14  were recorded in Australia in 2011?,"1,405,798",numeric
276,What was the population tally for Australia's 10-14  age group in 2011?,"1,405,798",numeric
277,How many individuals aged 10-14  were living in Australia in 2011?,"1,405,798",numeric
278,What was the count of Australia's 10-14  age range population in 2011?,"1,405,798",numeric
279,What was the population size of Australia's 10-14  age group in 2011?,"1,405,798",numeric
280,What was the population census result for Australia's 10-14  age cohort in 2011?,"1,405,798",numeric
281,How many people in the age group 10-14  were accounted for in Australia's 2011 census?,"1,405,798",numeric
282,What was the population total for Australia's 10-14  age demographic in 2011?,"1,405,798",numeric
283,"In 2011, what was the population of Australia of the age group 10-14  years?","1,405,798",numeric
284,population of Australia in 2011 between 10-14  age group,"1,405,798",numeric
285,What was the population count of New South Wales's 10-14  age group in 2011?,"443,416",numeric
286,How many individuals aged 10-14  were there in New South Wales in 2011?,"443,416",numeric
287,What was New South Wales's population figure for the 10-14  age bracket in 2011?,"443,416",numeric
288,"In 2011, what was the number of people aged 10-14  residing in New South Wales?","443,416",numeric
289,What was the demographic size of New South Wales's 10-14  age category in 2011?,"443,416",numeric
290,How many residents aged 10-14  were recorded in New South Wales in 2011?,"443,416",numeric
291,What was the population tally for New South Wales's 10-14  age group in 2011?,"443,416",numeric
292,How many individuals aged 10-14  were living in New South Wales in 2011?,"443,416",numeric
293,What was the count of New South Wales's 10-14  age range population in 2011?,"443,416",numeric
294,What was the population size of New South Wales's 10-14  age group in 2011?,"443,416",numeric
295,What was the population census result for New South Wales's 10-14  age cohort in 2011?,"443,416",numeric
296,How many people in the age group 10-14  were accounted for in New South Wales's 2011 census?,"443,416",numeric
297,What was the population total for New South Wales's 10-14  age demographic in 2011?,"443,416",numeric
298,"In 2011, what was the population of New South Wales of the age group 10-14  years?","443,416",numeric
299,population of New South Wales in 2011 between 10-14  age group,"443,416",numeric
300,What was the population count of Victoria's 10-14  age group in 2011?,"345,339",numeric
301,How many individuals aged 10-14  were there in Victoria in 2011?,"345,339",numeric
302,What was Victoria's population figure for the 10-14  age bracket in 2011?,"345,339",numeric
303,"In 2011, what was the number of people aged 10-14  residing in Victoria?","345,339",numeric
304,What was the demographic size of Victoria's 10-14  age category in 2011?,"345,339",numeric
305,How many residents aged 10-14  were recorded in Victoria in 2011?,"345,339",numeric
306,What was the population tally for Victoria's 10-14  age group in 2011?,"345,339",numeric
307,How many individuals aged 10-14  were living in Victoria in 2011?,"345,339",numeric
308,What was the count of Victoria's 10-14  age range population in 2011?,"345,339",numeric
309,What was the population size of Victoria's 10-14  age group in 2011?,"345,339",numeric
310,What was the population census result for Victoria's 10-14  age cohort in 2011?,"345,339",numeric
311,How many people in the age group 10-14  were accounted for in Victoria's 2011 census?,"345,339",numeric
312,What was the population total for Victoria's 10-14  age demographic in 2011?,"345,339",numeric
313,"In 2011, what was the population of Victoria of the age group 10-14  years?","345,339",numeric
314,population of Victoria in 2011 between 10-14  age group,"345,339",numeric
315,What was the population count of Queensland's 10-14  age group in 2011?,"293,917",numeric
316,How many individuals aged 10-14  were there in Queensland in 2011?,"293,917",numeric
317,What was Queensland's population figure for the 10-14  age bracket in 2011?,"293,917",numeric
318,"In 2011, what was the number of people aged 10-14  residing in Queensland?","293,917",numeric
319,What was the demographic size of Queensland's 10-14  age category in 2011?,"293,917",numeric
320,How many residents aged 10-14  were recorded in Queensland in 2011?,"293,917",numeric
321,What was the population tally for Queensland's 10-14  age group in 2011?,"293,917",numeric
322,How many individuals aged 10-14  were living in Queensland in 2011?,"293,917",numeric
323,What was the count of Queensland's 10-14  age range population in 2011?,"293,917",numeric
324,What was the population size of Queensland's 10-14  age group in 2011?,"293,917",numeric
325,What was the population census result for Queensland's 10-14  age cohort in 2011?,"293,917",numeric
326,How many people in the age group 10-14  were accounted for in Queensland's 2011 census?,"293,917",numeric
327,What was the population total for Queensland's 10-14  age demographic in 2011?,"293,917",numeric
328,"In 2011, what was the population of Queensland of the age group 10-14  years?","293,917",numeric
329,population of Queensland in 2011 between 10-14  age group,"293,917",numeric
330,What was the population count of South Australia's 10-14  age group in 2011?,"103,248",numeric
331,How many individuals aged 10-14  were there in South Australia in 2011?,"103,248",numeric
332,What was South Australia's population figure for the 10-14  age bracket in 2011?,"103,248",numeric
333,"In 2011, what was the number of people aged 10-14  residing in South Australia?","103,248",numeric
334,What was the demographic size of South Australia's 10-14  age category in 2011?,"103,248",numeric
335,How many residents aged 10-14  were recorded in South Australia in 2011?,"103,248",numeric
336,What was the population tally for South Australia's 10-14  age group in 2011?,"103,248",numeric
337,How many individuals aged 10-14  were living in South Australia in 2011?,"103,248",numeric
338,What was the count of South Australia's 10-14  age range population in 2011?,"103,248",numeric
339,What was the population size of South Australia's 10-14  age group in 2011?,"103,248",numeric
340,What was the population census result for South Australia's 10-14  age cohort in 2011?,"103,248",numeric
341,How many people in the age group 10-14  were accounted for in South Australia's 2011 census?,"103,248",numeric
342,What was the population total for South Australia's 10-14  age demographic in 2011?,"103,248",numeric
343,"In 2011, what was the population of South Australia of the age group 10-14  years?","103,248",numeric
344,population of South Australia in 2011 between 10-14  age group,"103,248",numeric
345,What was the population count of Western Australia's 10-14  age group in 2011?,"148,208",numeric
346,How many individuals aged 10-14  were there in Western Australia in 2011?,"148,208",numeric
347,What was Western Australia's population figure for the 10-14  age bracket in 2011?,"148,208",numeric
348,"In 2011, what was the number of people aged 10-14  residing in Western Australia?","148,208",numeric
349,What was the demographic size of Western Australia's 10-14  age category in 2011?,"148,208",numeric
350,How many residents aged 10-14  were recorded in Western Australia in 2011?,"148,208",numeric
351,What was the population tally for Western Australia's 10-14  age group in 2011?,"148,208",numeric
352,How many individuals aged 10-14  were living in Western Australia in 2011?,"148,208",numeric
353,What was the count of Western Australia's 10-14  age range population in 2011?,"148,208",numeric
354,What was the population size of Western Australia's 10-14  age group in 2011?,"148,208",numeric
355,What was the population census result for Western Australia's 10-14  age cohort in 2011?,"148,208",numeric
356,How many people in the age group 10-14  were accounted for in Western Australia's 2011 census?,"148,208",numeric
357,What was the population total for Western Australia's 10-14  age demographic in 2011?,"148,208",numeric
358,"In 2011, what was the population of Western Australia of the age group 10-14  years?","148,208",numeric
359,population of Western Australia in 2011 between 10-14  age group,"148,208",numeric
360,What was the population count of Tasmania's 10-14  age group in 2011?,"32,687",numeric
361,How many individuals aged 10-14  were there in Tasmania in 2011?,"32,687",numeric
362,What was Tasmania's population figure for the 10-14  age bracket in 2011?,"32,687",numeric
363,"In 2011, what was the number of people aged 10-14  residing in Tasmania?","32,687",numeric
364,What was the demographic size of Tasmania's 10-14  age category in 2011?,"32,687",numeric
365,How many residents aged 10-14  were recorded in Tasmania in 2011?,"32,687",numeric
366,What was the population tally for Tasmania's 10-14  age group in 2011?,"32,687",numeric
367,How many individuals aged 10-14  were living in Tasmania in 2011?,"32,687",numeric
368,What was the count of Tasmania's 10-14  age range population in 2011?,"32,687",numeric
369,What was the population size of Tasmania's 10-14  age group in 2011?,"32,687",numeric
370,What was the population census result for Tasmania's 10-14  age cohort in 2011?,"32,687",numeric
371,How many people in the age group 10-14  were accounted for in Tasmania's 2011 census?,"32,687",numeric
